RNK;NAME;ROLE;NAT;HEIGHT;AGE;TM NAME;GP;W;L;W%;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;USG%;PPP;OFF RTG (ON);DEF RTG (ON);NET RTG (ON);IND OFF RTG;IND DEF RTG;IND NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);PF 100 Poss;DF 100 Poss;PER;OFF WIN SHARE;DEF WIN SHARE;WIN SHARE;WIN Share per 40;OBPM;DBPM;BPM;VORP;TM PACE (ON);TM OFF RTG (ON);TM DEF RTG (ON);TM NET RTG (ON);TM TS% (ON);TM OR% (ON);TM TO% (ON);TM FT Ratio (ON);OPP TS% (ON);OPP OR% (ON);OPP TO% (ON);OPP FT Ratio (ON);TM PACE (OFF);TM OFF RTG (OFF);TM DEF RTG (OFF);TM NET RTG (OFF);TM TS% (OFF);TM OR% (OFF);TM TO% (OFF);TM FT Ratio (OFF);OPP TS% (OFF);OPP OR% (OFF);OPP TO% (OFF);OPP FT Ratio (OFF);TM PACE (NET);TM OFF RTG (NET);TM DEF RTG (NET);TM NET RTG (NET);TM TS% (NET);TM OR% (NET);TM TO% (NET);TM FT Ratio (NET);OPP TS% (NET);OPP OR% (NET);OPP TO% (NET);OPP FT Ratio (NET)
38;Jaron Blossomgame;F;USA;198;31;AS Monaco;5;2;3;0,4;27,2;7,6;2,4;4;0,6;0,8;2,6;0,307692308;3,2;6,6;0,484848485;0,4;0,6;0,666666667;1,2;3;4,2;0,2;0,4;1,4;0,4;0,2;1,6;1,6;9,6;-3,6;7,2;0,143426295;1,055555556;115,6950673;120,5240175;-4,828950203;104,5727072;107,9239592;-3,351251949;0,545454545;0,558823529;0,166666667;2;0,305555556;0,909090909;0,083333333;0,666666667;0,027777778;3;0,333333333;0,75;0,027777778;0,055555556;0;0,055555556;0,010416667;0;0,05;0;0,027027027;0,5;0,059405941;0,072727273;0,051282051;0;0,136363636;0,177777778;0,081967213;0,333333333;0,099526066;0,030567686;0,009569378;0,019607843;0;3,493449782;3,587443946;12,38298769;0,096600621;1,288149606;1,384750227;0,072595032;-0,978876512;-0,068812742;-1,047689254;0,417895487;66,10671937;115,6950673;120,5240175;-4,828950203;0,591743119;0,267326733;0,131474104;0,099601594;0,602620087;0,354545455;0,165254237;0,084745763;68,73889876;114,7286822;115,9663866;-1,237704384;0,548148148;0,322580645;0,093959732;0,127516779;0,594827586;0,298245614;0,124260355;0,065088757;-2,632179389;0,966385094;4,557630913;-3,591245819;0,043594971;-0,055253912;0,037514372;-0,027915185;0,007792501;0,056299841;0,040993882;0,019657005
39;John Brown;PF/C;USA;205;32;AS Monaco;3;1;2;0,333333333;28,33333333;7,333333333;2,666666667;7,333333333;0,363636364;0;0;-;2,666666667;7,333333333;0,363636364;2;2,333333333;0,857142857;2,666666667;0,666666667;3,333333333;1,666666667;0,333333333;0,333333333;0;0,333333333;2,666666667;2,333333333;6,666666667;-3;8,666666667;0,165605096;0,846153846;125;132,5925926;-7,592592593;115,5716061;125,6064944;-10,03488834;0,363636364;0,44;0;-;0,615384615;0,875;0,230769231;0,333333333;0;-;0;-;0,115384615;0,038461538;0;0,038461538;0,075757576;0,029411765;0,1875;0,0625;0,161290323;5;0,121212121;0,102564103;0,166666667;0;0,034482759;0,095238095;0;0;0,080645161;0,007407407;0;0;0;5,925925926;5,147058824;10,94069975;0,347043326;1,447917088;1,794960414;0,078986157;-0,99089996;2,330817591;1,339917631;1,889888748;64,99402628;125;132,5925926;-7,592592593;0,594405594;0,318181818;0,089171975;0,127388535;0,667910448;0,379310345;0,176470588;0,102941176;69,97840173;114,8148148;103,7037037;11,11111111;0,628378378;0,266666667;0,168539326;0,123595506;0,56;0,243243243;0,133928571;0,071428571;-4,984375444;10,18518519;28,88888889;-18,7037037;-0,033972784;0,051515152;-0,079367351;0,003793029;0,107910448;0,136067102;0,042542017;0,031512605
40;Petr Cornelie;C;FRA;212;29;AS Monaco;1;0;1;0;12;2;1;1;1;0;2;0;1;3;0,333333333;0;0;-;0;2;2;1;0;1;1;0;3;0;2;-1;3;0,130434783;0,666666667;105;115,7894737;-10,78947368;78,09919487;97,72155556;-19,62236069;0,333333333;0,333333333;0;-;0,333333333;2;0;-;0;-;0,666666667;0;-;0;0;0;0,1;0,166666667;-;0;0,25;1;0;0;0;-;0,25;0,4;0;0;0,105263158;0,052631579;0,066666667;0,1;0;15,78947368;0;9,888077224;-0,070107279;0,592632258;0,52252498;0,075454871;-0,801838024;1,157576623;0,355738599;0,38506066;68,18181818;105;115,7894737;-10,78947368;0,477272727;0,272727273;0,043478261;0,173913043;0,647058824;0,125;0,166666667;0,111111111;66,98049765;115,9638554;119,1489362;-3,185080749;0,581570997;0,289473684;0,122015915;0,106100796;0,597560976;0,34591195;0,147286822;0,074935401;1,201320536;-10,96385542;-3,359462486;-7,604392936;-0,10429827;-0,016746411;-0,078537654;0,067812248;0,049497848;-0,22091195;0,019379845;0,036175711
41;Alpha Diallo;F;USA;201;27;AS Monaco;5;2;3;0,4;27,2;11,6;4,2;6,2;0,677419355;0,2;1,8;0,111111111;4,4;8;0,55;2,6;3;0,866666667;1,2;3,4;4,6;1;1,2;0,8;0,6;0;3;1,8;12,2;-3;10,4;0,196226415;1,115384615;115,2838428;122,3684211;-7,084578258;113,6080659;112,1111534;1,496912434;0,5625;0,630434783;0,096153846;2;0,346153846;1,333333333;0,153846154;1;0;-;0,173076923;0,333333333;0,115384615;0,115384615;0,076923077;0,038461538;0,052631579;0,052631579;0,133333333;0;0,087719298;0,833333333;0,057692308;0,074074074;0,023255814;0,2;0,166666667;0,152173913;0,183673469;0,25;0,111650485;0,01754386;0,014925373;0,030612245;0;6,578947368;3,930131004;15,45400396;0,695442062;1,784863963;2,480306025;0,09679243;0,329399056;1,748260328;2,077659384;2,466363558;67,3694533;115,2838428;122,3684211;-7,084578258;0,571428571;0,346153846;0,128301887;0,113207547;0,625560538;0,303921569;0,16017316;0,095238095;66,4565511;115,4471545;112,5;2,947154472;0,581967213;0,186440678;0,096296296;0,103703704;0,553278689;0,384615385;0,132183908;0,051724138;0,912902194;-0,163311677;9,868421053;-10,03173273;-0,010538642;0,159713168;0,03200559;0,009503843;0,07228185;-0,080693816;0,027989252;0,043513957
42;Donta Hall;C;USA;208;27;AS Monaco;5;2;3;0,4;9,4;3,2;1,2;1,4;0,857142857;0;0;-;1,2;1,4;0,857142857;0,8;1,6;0,5;0,8;1,8;2,6;0,2;0,6;0,4;0,4;0;1,2;1,2;5,2;-0,2;2,6;0,152941176;1,230769231;113,1578947;119,1780822;-6,020187455;123,6611126;98,25222498;25,40888758;0,857142857;0,8;0,307692308;2;0,230769231;1,333333333;0;-;0;-;0;-;0,230769231;0,230769231;0,076923077;0,153846154;0,034482759;0;0;0,2;0,071428571;0,333333333;0,114285714;0,176470588;0,0625;0;0,243243243;0,375;0,157894737;0;0,180555556;0,02739726;0,028169014;0,052631579;0;8,219178082;7,894736842;20,43932596;1,028965347;1,074734408;2,103699755;0,162134856;1,157532551;2,657894591;3,815427142;1,735854961;64,49787836;113,1578947;119,1780822;-6,020187455;0,565789474;0,257142857;0,105882353;0,094117647;0,587837838;0,405405405;0,179487179;0,038461538;67,78550962;115,942029;118,9090909;-2,967061924;0,577617329;0,296875;0,120634921;0,114285714;0,603321033;0,315384615;0,140672783;0,085626911;-3,28763126;-2,784134249;0,268991283;-3,053125531;-0,011827855;-0,039732143;-0,014752568;-0,020168067;-0,015483195;0,09002079;0,038814397;-0,047165373
43;Mam Jaiteh;C;FRA;208;30;AS Monaco;3;2;1;0,666666667;9,666666667;2;1;2;0,5;0;0;-;1;2;0,5;0;0;-;0,666666667;2,333333333;3;0;1;0,333333333;0;0;1,333333333;0;2;-2;3;0,15;0,666666667;103,8461538;115,3846154;-11,53846154;65,14211536;107,6240366;-42,48192128;0,5;0,5;0,111111111;2;0,444444444;1;0,111111111;0;0;-;0;-;-;0,333333333;0,111111111;0,222222222;0;0;0;0;0;0;0,08;0,066666667;0,142857143;0;0,269230769;0,363636364;0,166666667;0,333333333;0,176470588;0,019230769;0;0;0;7,692307692;0;17,09714107;0,134991542;0,23155691;0,366548452;0,071521649;-1,228852147;-0,090576842;-1,319428989;0,087147883;73,19648094;103,8461538;115,3846154;-11,53846154;0,519230769;0,32;0,133333333;0,116666667;0,588235294;0,115384615;0,078431373;0,117647059;66,08536026;117,3333333;119,5945946;-2,261261261;0,584717608;0,282608696;0,114705882;0,108823529;0,602040816;0,375886525;0,15819209;0,070621469;7,111120681;-13,48717949;-4,20997921;-9,277200277;-0,065486839;0,037391304;0,018627451;0,007843137;-0,013805522;-0,260501909;-0,079760718;0,04702559
44;Mike James;PG;USA;185;34;AS Monaco;5;2;3;0,4;34,2;13;2,4;7;0,342857143;1,6;5,2;0,307692308;4;12,2;0,327868852;3,4;4,4;0,772727273;0,4;2,6;3;4,8;1,6;1;0;0;2;6;15;-0,8;15,6;0,237082067;0,833333333;115,5172414;117,7083333;-2,191091954;111,8256012;110,2233869;1,60221434;0,393442623;0,464285714;0,025641026;0;0,205128205;1;0,217948718;0,470588235;0,012820513;0;0,307692308;1;0,115384615;0,102564103;0,076923077;0,025641026;0,196721311;0,162162162;0,32;0,173913043;0,235294118;3;0,014184397;0,012658228;0;0,25;0,092857143;0,032786885;0,136986301;0,166666667;0,053380783;0,017361111;0;0;0;3,472222222;10,34482759;20,17830564;3,226540668;2,272124519;5,498665187;0,17795033;3,891574399;-0,902406736;2,989167663;3,546590347;67,09727176;115,5172414;117,7083333;-2,191091954;0,565878378;0,269503546;0,100303951;0,103343465;0,592657343;0,342857143;0,172881356;0,088135593;66,81634486;114,516129;125;-10,48387097;0,622807018;0,409090909;0,197183099;0,14084507;0,63559322;0,296296296;0,081818182;0,045454545;0,280926905;1,001112347;-7,291666667;8,292779014;-0,056928639;-0,139587363;-0,096879147;-0,037501605;-0,042935878;0,046560847;0,091063174;0,042681048
45;Jordan Loyd;SG;USA;193;31;AS Monaco;5;2;3;0,4;25,6;11;2,2;4,4;0,5;1,4;3,6;0,388888889;3,6;8;0,45;2,4;2,6;0,923076923;0,6;2,4;3;2,8;1,4;0,4;0;0;3,6;2,4;10;1;10,4;0,21399177;1,057692308;114,084507;116,097561;-2,013053933;125,4942951;108,5341652;16,96012999;0,5375;0,611111111;0,038461538;0;0,25;1,384615385;0,134615385;0,571428571;0,038461538;0;0,288461538;1,4;0,096153846;0,134615385;0,115384615;0,019230769;0,16091954;0,176470588;0,1875;0,1;0,212121212;2;0,030927835;0,036363636;0,027027027;0;0,117647059;0,119047619;0,127272727;0;0,075376884;0,009756098;0;0;0;8,780487805;5,633802817;13,52070665;0,458848469;0,783962819;1,242811288;0,110472114;0,403942906;-0,7683625;-0,364419593;0,819073652;67,24546172;114,084507;116,097561;-2,013053933;0,575829384;0,298969072;0,131687243;0,106995885;0,577669903;0,333333333;0,157894737;0,086124402;66,74669868;117,2661871;123,0769231;-5,810736027;0,573943662;0,272727273;0,095541401;0,114649682;0,633093525;0,338461538;0,137755102;0,066326531;0,498763041;-3,181680008;-6,979362101;3,797682093;0,001885722;0,026241799;0,036145842;-0,007653797;-0,055423622;-0,005128205;0,020139635;0,019797871
46;Donatas Motiejunas;PF/C;LTU;213;34;AS Monaco;5;2;3;0,4;23,6;13,2;2,8;4,4;0,636363636;1,4;2,6;0,538461538;4,2;7;0,6;3,4;4,4;0,772727273;1;2,6;3,6;1,8;0,8;0,8;0,2;0,4;3;3,8;15,4;2,8;10;0,222222222;1,32;117,0854271;111,1675127;5,917914445;116,4333678;101,546379;14,88698883;0,7;0,717391304;0,02;2;0,36;1,111111111;0,06;2;0;-;0,26;1,615384615;0,22;0,08;0,06;0,02;0,121621622;0,125;0,071428571;0,166666667;0,152542373;2,25;0,054347826;0,078431373;0;0,333333333;0,128712871;0,095238095;0,169811321;0;0,093264249;0,020304569;0,005617978;0,011764706;0;7,614213198;9,547738693;17,55270545;-0,052912052;1,379108235;1,326196183;0,07643782;-0,290514572;-0,085097756;-0,375612327;0,648356118;66,7411962;117,0854271;111,1675127;5,917914445;0,585427136;0,27173913;0,115555556;0,106666667;0,561538462;0,356435644;0,195;0,085;67,45040411;113,0718954;129,1390728;-16,06717742;0,561688312;0,309859155;0,12;0,114285714;0,65;0,303030303;0,102439024;0,068292683;-0,709207916;4,013531711;-17,97156016;21,98509187;0,023738824;-0,038120024;-0,004444444;-0,007619048;-0,088461538;0,053405341;0,092560976;0,016707317
47;Elie Okobo;PG;FRA;191;27;AS Monaco;5;2;3;0,4;27,2;12,4;3,4;5,8;0,586206897;1,2;4,8;0,25;4,6;10,6;0,433962264;2;2;1;0,2;1,8;2;2,8;1,6;0,6;0;0,2;2,4;2;9,6;1,4;12,8;0,243346008;0,96875;115,8119658;115,7894737;0,022492128;117,5694744;109,8381624;7,731312027;0,490566038;0,553571429;0,046875;1,333333333;0,28125;1,111111111;0,125;1,25;0;-;0,375;0,75;0,046875;0,125;0,078125;0,046875;0,144329897;0,185185185;0,111111111;0,08;0,179487179;1,75;0,009803922;0;0,022727273;0;0,078947368;0,06122449;0,105263158;0;0,046296296;0,013157895;0;0;0;5,263157895;4,273504274;13,32438467;1,149192021;1,829463116;2,978655137;0,129506745;0,11746807;-1,249776769;-1,132308698;0,483645802;68,92488954;115,8119658;115,7894737;0,022492128;0,591703057;0,284313725;0,129277567;0,114068441;0,578947368;0,324561404;0,161702128;0,10212766;63,61185984;114,4067797;125;-10,59322034;0,544354839;0,295081967;0,094890511;0,102189781;0,641025641;0,358490566;0,129411765;0,041176471;5,313029705;1,405186151;-9,210526316;10,61571247;0,047348218;-0,010768242;0,034387056;0,01187866;-0,062078273;-0,033929163;0,032290363;0,060951189
48;Yakuba Ouattara;SG;FRA;192;32;AS Monaco;2;1;1;0,5;12;2,5;0,5;0,5;1;0,5;1,5;0,333333333;1;2;0,5;0;0;-;0;0,5;0,5;0;0;0;0,5;0;1;0,5;2;-3;2;0,088888889;1,25;81,08108108;100;-18,91891892;100,3605059;94,88932806;5,471177867;0,625;0,625;0,25;2;0;-;0;-;0,25;3;0,5;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0,045454545;0,111111111;0;0;0,02173913;0;0,027027027;0,052631579;0;5,555555556;2,702702703;12,33755991;0,175343993;0,363188864;0,538532857;0,070396452;0,262320151;-1,226140991;-0,963820841;0,203665625;59,71755212;81,08108108;100;-18,91891892;0,384615385;0,291666667;0,133333333;0,044444444;0,486486486;0,545454545;0,289473684;0;68,46547011;118,75;118,907563;-0,157563025;0,608974359;0,29;0,130111524;0,107806691;0,604700855;0,274336283;0,128571429;0,064285714;-8,747917987;-37,66891892;-18,90756303;-18,76135589;-0,224358974;0,001666667;0,003221809;-0,063362247;-0,118214368;0,271118262;0,160902256;-0,064285714
49;Matthew Strazel;SG;FRA;182;22;AS Monaco;3;1;2;0,333333333;9,666666667;3,666666667;0,333333333;1;0,333333333;0,666666667;0,666666667;1;1;1,666666667;0,6;1;2;0,5;0;0,333333333;0,333333333;2;0,333333333;0,333333333;0;0,333333333;0,666666667;1;4,333333333;-2;3;0,166666667;1,222222222;127,4509804;142;-14,54901961;132,7116802;139,3860876;-6,674407441;0,8;0,6875;0;-;0,333333333;0,666666667;0;-;0,111111111;3;0,111111111;3;0,333333333;0,111111111;0;0,111111111;0,24;0,266666667;0,333333333;0,142857143;0,4;6;0;0;0;0;0,066666667;0,125;0;0;0,03125;0,02;0;0;0;4;5,882352941;12,5571123;0,300950428;0,193332838;0,494283266;0,088660675;0,382326676;-1,846019589;-1,463692914;0,116385436;71,12144102;127,4509804;142;-14,54901961;0,663265306;0,176470588;0,092592593;0,185185185;0,788888889;0,133333333;0,145833333;0,0625;66,40316206;113,2890365;115,1006711;-1,811634596;0,560855263;0,301369863;0,121387283;0,098265896;0,571666667;0,355263158;0,148459384;0,078431373;4,718278967;14,16194385;26,89932886;-12,73738501;0,102410043;-0,124899275;-0,028794691;0,086919289;0,217222222;-0,221929825;-0,00262605;-0,015931373
52;Chris Chiozza;PG;USA;180;29;Baskonia Vitoria-Gasteiz;3;0;3;0;9;4,333333333;0,333333333;0,666666667;0,5;1;2,333333333;0,428571429;1,333333333;3;0,444444444;0,666666667;0,666666667;1;0,333333333;1,666666667;2;1,333333333;0,666666667;0;0;0;0,666666667;1,333333333;6;-1,333333333;4;0,218181818;1,083333333;117,0212766;140,4761905;-23,45491388;135,9865737;123,1203227;12,86625101;0,611111111;0,65;0;-;0,083333333;2;0,083333333;0;0;-;0,583333333;1,285714286;0,083333333;0,166666667;0,083333333;0,083333333;0,25;0;0,375;0,5;0,25;2;0,035714286;0;0,055555556;0;0,263157895;0,125;0,444444444;0;0,127659574;0;0;0;0;4,761904762;8,510638298;6,972959317;0,127603593;0,415182841;0,542786434;0,081012901;-3,268541446;-2,588774836;-5,857316282;-0,808273251;68,32222895;117,0212766;140,4761905;-23,45491388;0,572916667;0,285714286;0,127272727;0,054545455;0,655555556;0,368421053;0,088888889;0,022222222;74,82429267;119,6531792;131,4606742;-11,80749497;0,619760479;0,30952381;0,16080402;0,055276382;0,65;0,303797468;0,106796117;0,058252427;-6,502063713;-2,631902595;9,015516319;-11,64741891;-0,046843812;-0,023809524;-0,033531293;-0,000730927;0,005555556;0,064623584;-0,017907228;-0,036030205
53;Matthew Costello;PF/C;USA;210;31;Baskonia Vitoria-Gasteiz;3;0;3;0;25;11,66666667;3,333333333;4,666666667;0,714285714;1,666666667;5,666666667;0,294117647;5;10,33333333;0,483870968;0;0;-;1,666666667;3;4,666666667;1,333333333;1;1;0,333333333;0,333333333;3;1;10,33333333;-4,333333333;11,33333333;0,208588957;1,029411765;121,9858156;131,2056738;-9,219858156;107,9927788;120,3196137;-12,32683492;0,564516129;0,564516129;0,058823529;2;0,264705882;1,333333333;0,088235294;1,333333333;0;-;0,5;0,882352941;-;0,088235294;0,058823529;0,029411765;0,070175439;0,076923077;0,095238095;0;0,105263158;1,333333333;0,071428571;0,142857143;0,022727273;0,25;0,15;0,16;0,161290323;0;0,107692308;0,021276596;0,007575758;0,014084507;0;6,382978723;2,127659574;15,98065802;0,146735555;1,374365669;1,521101224;0,082781019;0,748214397;0,43442749;1,182641887;1,601236151;74,96677005;121,9858156;131,2056738;-9,219858156;0,618705036;0,314285714;0,147239264;0,067484663;0,660714286;0,283333333;0,126760563;0,056338028;70,58823529;113,9240506;136,7088608;-22,78481013;0,592105263;0,285714286;0,164835165;0,032967033;0,635294118;0,368421053;0,073394495;0,04587156;4,378534755;8,06176497;-5,503187001;13,56495197;0,026599773;0,028571429;-0,017595901;0,03451763;0,025420168;-0,085087719;0,053366068;0,010466469
54;Daniel Diez;F;ESP;203;31;Baskonia Vitoria-Gasteiz;3;0;3;0;14;1;0;0;-;0,333333333;2,333333333;0,142857143;0,333333333;2,333333333;0,142857143;0;0;-;0,333333333;1,666666667;2;1;0,333333333;0;0;0;1;0;0,666666667;1,666666667;2,666666667;0,090909091;0,375;122,0779221;118,6666667;3,411255411;80,20889717;113,6749638;-33,46606663;0,214285714;0,214285714;0;-;0;-;0;-;0;-;0,875;0,428571429;-;0,125;0,125;0;0,078947368;0,05;0,153846154;0;0,272727273;3;0,027777778;0;0,047619048;0;0,151515152;0,333333333;0,045454545;0,333333333;0,086956522;0;0;0;0;4;0;9,180592209;0,108465749;0,358498734;0,466964483;0,051456141;-1,135616352;0,021881037;-1,113735315;0,191335862;74,27652733;122,0779221;118,6666667;3,411255411;0,635135135;0,305555556;0,159090909;0,056818182;0,618055556;0,272727273;0,166666667;0,041666667;72,83531409;117,4825175;140,6896552;-23,20713769;0,595744681;0,302631579;0,15060241;0,054216867;0,666666667;0,338461538;0,078212291;0,055865922;1,44121324;4,595404595;-22,02298851;26,6183931;0,039390454;0,002923977;0,008488499;0,002601314;-0,048611111;-0,065734266;0,088454376;-0,014199255
57;Markus Howard;PG;USA;178;25;Baskonia Vitoria-Gasteiz;3;0;3;0;19,66666667;18,66666667;2,333333333;4,666666667;0,5;3,666666667;9,666666667;0,379310345;6;14,33333333;0,418604651;3;3,666666667;0,818181818;0,333333333;0,666666667;1;1;2,666666667;0,666666667;0;0,333333333;3;2,666666667;9;-14;18,33333333;0,423076923;1,018181818;105,3097345;147,706422;-42,39668751;94,1803416;132,8256187;-38,64527707;0,546511628;0,595744681;0;-;0,145454545;1;0,109090909;1;0,018181818;3;0,509090909;1,071428571;0,072727273;0,145454545;0,109090909;0,036363636;0,107142857;0;0,285714286;0,25;0,051724138;0,375;0,015873016;0;0,03125;0;0,042553191;0,052631579;0,038461538;0;0,027272727;0,018348624;0;0;0;8,256880734;7,079646018;19,72500988;0,455848917;0,680813283;1,1366622;0,050630833;2,955756482;-6,040139615;-3,084383133;-0,564340086;76,35135135;105,3097345;147,706422;-42,39668751;0,540909091;0,26984127;0,153846154;0,061538462;0,68220339;0,404255319;0,083333333;0,05;70,39473684;133,6448598;118,9189189;14,72594089;0,680952381;0,346938776;0,153225806;0,048387097;0,61682243;0,235294118;0,122137405;0,053435115;5,956614509;-28,3351253;28,7875031;-57,1226284;-0,14004329;-0,077097506;0,000620347;0,013151365;0,06538096;0,168961202;-0,038804071;-0,003435115
59;Maik Kotsar;C;EST;209;28;Baskonia Vitoria-Gasteiz;3;0;3;0;15;2,333333333;1;2,666666667;0,375;0;0;-;1;2,666666667;0,375;0,333333333;0,333333333;1;1,333333333;1,333333333;2,666666667;0,666666667;0,666666667;0;0;0,666666667;1,666666667;1,333333333;2,333333333;-6;3,333333333;0,10989011;0,7;113,9240506;136,7088608;-22,78481013;101,5365321;125,5296887;-23,99315655;0,375;0,4375;0,1;2;0,7;0,571428571;0;-;0;-;0;-;0;0,2;0,1;0,1;0,0625;0,090909091;0,055555556;0;0,166666667;1;0,095238095;0,058823529;0,125;0;0,105263158;0,166666667;0;0,5;0,1;0;0;0;0;6,329113924;5,063291139;14,21602168;0,107247476;0,82202038;0,929267856;0,052874416;-1,228057559;0,921439584;-0,306617974;0,689909429;70,58823529;113,9240506;136,7088608;-22,78481013;0,592105263;0,285714286;0,164835165;0,032967033;0,635294118;0,368421053;0,094117647;0,058823529;74,96677005;121,9858156;131,2056738;-9,219858156;0,618705036;0,314285714;0,147239264;0,067484663;0,660714286;0,283333333;0,108433735;0,048192771;-4,378534755;-8,06176497;5,503187001;-13,56495197;-0,026599773;-0,028571429;0,017595901;-0,03451763;-0,025420168;0,085087719;-0,014316088;0,010630758
61;Vanja Marinkovic;SG;SRB;198;27;Baskonia Vitoria-Gasteiz;3;0;3;0;29,33333333;15,33333333;2;3,666666667;0,545454545;2,666666667;5;0,533333333;4,666666667;8,666666667;0,538461538;3,333333333;3,333333333;1;1,333333333;1,333333333;2,666666667;2;1,666666667;0,333333333;0;0,666666667;2,333333333;2,666666667;14,33333333;-1,333333333;11,33333333;0,186813187;1,352941176;131,8471338;134,3949045;-2,547770701;142,1080727;126,2397918;15,86828091;0,692307692;0,793103448;0,029411765;2;0,235294118;1,25;0,029411765;0;0;-;0,441176471;1,6;0,088235294;0,147058824;0,029411765;0,117647059;0,089552239;0,0625;0,111111111;0,125;0,15;1,2;0,052631579;0,038461538;0,065217391;0;0,058823529;0,032258065;0,03030303;0,4;0,055555556;0,006369427;0;0;0;4,458598726;5,095541401;12,11665423;0,682095474;0,924818923;1,606914397;0,067305315;1,041432792;-2,20738205;-1,165949259;0,486480618;72,30857801;131,8471338;134,3949045;-2,547770701;0,655063291;0,328947368;0,131868132;0,065934066;0,655279503;0,352941176;0,12345679;0,061728395;76,01809955;87,3015873;130,1587302;-42,85714286;0,48245614;0,25;0,208333333;0,027777778;0,640625;0,233333333;0,06741573;0,033707865;-3,709521539;44,54554646;4,2361743;40,30937216;0,172607151;0,078947368;-0,076465201;0,038156288;0,014654503;0,119607843;0,05604106;0,02802053
62;Codi Miller McIntyre;PG;USA;191;30;Baskonia Vitoria-Gasteiz;3;0;3;0;32,66666667;14,66666667;4,666666667;7,666666667;0,608695652;1,333333333;3;0,444444444;6;10,66666667;0,5625;1,333333333;3;0,444444444;1,333333333;4,333333333;5,666666667;8;3,333333333;1,333333333;0;1,333333333;2;4;20,66666667;-7,333333333;15,33333333;0,220095694;0,956521739;120,441989;129,7297297;-9,287740779;137,6475027;118,746051;18,90145172;0,625;0,611111111;0,130434783;2;0,304347826;0,857142857;0,065217391;1,333333333;0;-;0,195652174;1,333333333;0,086956522;0,217391304;0,152173913;0,065217391;0,347826087;0,233333333;0,5;0,142857143;0,342857143;2,4;0,044444444;0;0,074074074;0;0,154761905;0,078947368;0,23255814;0;0,097701149;0,021621622;0;0;0;3,243243243;6,629834254;14,83883734;3,082448244;1,543863403;4,626311647;0,160635821;0,864274228;-1,483019846;-0,618745618;0,922163561;73,92784207;120,441989;129,7297297;-9,287740779;0,615819209;0,311111111;0,153110048;0,052631579;0,64171123;0,297619048;0,121693122;0,058201058;70,69486405;112,8205128;151,4285714;-38,60805861;0,578947368;0,272727273;0,155555556;0,066666667;0,697368421;0,428571429;0,048387097;0,032258065;3,232978021;7,62147613;-21,6988417;29,32031783;0,036871841;0,038383838;-0,002445508;-0,014035088;-0,055657191;-0,130952381;0,073306025;0,025942994
65;Sander Raieste;F/PF;EST;204;25;Baskonia Vitoria-Gasteiz;3;0;3;0;7,666666667;1;0;0;-;0,333333333;1;0,333333333;0,333333333;1;0,333333333;0;0;-;0;0,666666667;0,666666667;0,333333333;0;0,333333333;0;0;1,333333333;0;0,333333333;-2,666666667;1;0,06122449;1;116,6666667;129,5454545;-12,87878788;122,8526673;121,6112131;1,241454183;0,5;0,5;0;-;0;-;0;-;0;-;1;1;-;0;0;0;0,052631579;0;0,125;0;0,25;0,333333333;0;0;0;0;0,111111111;0;0,2;0;0,05;0,022727273;0;0;0;9,090909091;0;0,116051939;-0,183705506;-0,004396284;-0,18810179;-0,038000362;-4,007229201;-0,613117633;-4,620346834;-0,300680857;73,95451211;116,6666667;129,5454545;-12,87878788;0,6125;0,318181818;0,183673469;0,040816327;0,662790698;0,222222222;0,11627907;0,093023256;73,18828165;119,6629213;134,0909091;-14,42798774;0,608571429;0,3;0,146341463;0,058536585;0,648351648;0,3375;0,100961538;0,043269231;0,766230454;-2,996254682;-4,545454545;1,549199864;0,003928571;0,018181818;0,037332006;-0,017720259;0,014439049;-0,115277778;0,015317531;0,049754025
